"session_id","agent_id","status","started_at","ended_at","tokens","turns","model","channel_type","channel_target","agent_pack","engine"
"194980a2-b501-4117-a6b4-480586910617","","scheduled","2026-05-19T23:20:00.000Z","","0","0","agentide-litellm::litellm/gpt-5.1-codex-mini","none","","",""
"a7a55e8e-d991-4d13-8f1c-b64fc4e64c62","","scheduled","2026-05-20T04:00:00.000Z","","0","0","agentide-litellm::litellm/gpt-5.1-codex-mini","none","","",""
"afe36054-0476-4a2e-84fc-509471123a15","default","done","2026-03-06 13:56:10.906-08","2026-03-06 13:56:16.731819-08","15817","1","gpt-5.3-codex","none","","default",""
"56635671-16b4-436a-8879-bdfe1eb8901f","default","done","2026-03-06 13:56:28.775-08","2026-03-06 13:56:30.608528-08","15091","1","gpt-5.3-codex","none","","default",""
"34be2bd5-ecb1-4e62-b5ee-301545fc1f3c","default","done","2026-03-06 13:56:51.238-08","2026-03-06 13:56:52.575425-08","6315","1","gpt-5.3-codex","none","","default",""
"e2edd021-f524-4380-8da7-148bdb5e7735","default","done","2026-03-06 15:02:00.812-08","2026-03-06 15:02:03.572217-08","6315","1","gpt-5.3-codex","none","","default",""
"92532f63-3ff0-4248-bcc4-a50d7b16d377","joker1","done","2026-03-06 15:02:39.121-08","2026-03-06 15:02:44.919202-08","2018","1","gpt-5.3-codex","none","","joker1",""
"70a161e8-64c6-455d-b854-f08fba6f41de","joker1","done","2026-03-06 15:57:23.81-08","2026-03-06 15:57:47.811437-08","38224","3","gpt-5.3-codex","none","","joker1",""
"2f897c8a-aed2-47d9-9e28-58b8c4ba0e0c","joker1","done","2026-03-06 15:58:20.082-08","2026-03-06 22:49:01.888899-08","193381","24","gpt-5.3-codex","none","","joker1",""
"1072d492-0443-405f-b599-fe53381cfa7c","joker1","done","2026-03-06 16:09:31.622-08","2026-03-06 16:09:51.010521-08","9139","3","gpt-5.3-codex","none","","joker1",""
"f791fed0-5c8e-4f4e-aad9-ee1f55931e74","joker1","done","2026-03-06 21:42:24.562-08","2026-03-06 21:42:26.16409-08","12728","1","gpt-4.1-nano-2025-04-14","none","","joker1",""
"a77e007e-33c9-4355-bb51-d7677aa8cfa8","default","done","2026-03-06 21:51:16.292-08","2026-03-06 21:51:22.188713-08","31907","2","gpt-5.3-codex","none","","default",""
"53490d9c-e564-4662-84cf-96de8cbc7c28","joker1","done","2026-03-06 22:35:16.627-08","2026-03-06 22:35:31.016105-08","48767","3","gpt-5.3-codex","none","","joker1",""
"07a26b15-e061-420c-abf1-8cf8550ab375","joker1","done","2026-03-06 22:38:04.22-08","2026-03-06 22:38:40.81936-08","25756","2","gpt-5.3-codex","none","","joker1",""
"557c7fc1-5fcf-4a2a-bab7-fbc429a1b231","default","done","2026-03-06 23:40:27.938-08","2026-03-07 00:02:22.283704-08","952757","19","gpt-5.3-codex","none","","default",""
"d7375fa7-6d9a-4b7e-987b-88dc29e3dadc","default","done","2026-03-07 08:45:30.998-08","2026-03-07 08:56:04.876558-08","897640","25","gpt-5.3-codex","none","","default",""
"0a578a40-a447-4915-b57a-e375bb8a3c1c","default","done","2026-03-07 08:57:20.065-08","2026-03-07 08:58:32.085201-08","208084","10","gpt-5.3-codex","none","","default",""
"026d49d0-4eb9-4fd9-bf37-6a661b539560","default","done","2026-03-07 11:08:04.67-08","2026-03-07 11:58:42.402526-08","1912905","27","gpt-5.3-codex","none","","default",""
"0e301c49-69da-40dc-98ba-6d323d43bd7d","default","done","2026-03-07 11:11:33.063-08","2026-03-07 12:49:25.327504-08","8649756","86","gpt-5.3-codex","none","","default",""
"b5ac0b12-880a-45b2-bfdf-fee37c92dd1d","default","done","2026-03-07 12:11:08.778-08","2026-03-08 15:12:52.819304-07","13359322","126","gpt-5.3-codex","none","","default",""
"61df138c-a29e-4431-a843-c4c2d92b9dba","default","done","2026-03-07 12:34:25.058-08","2026-03-08 13:22:11.299153-07","1600692","36","gpt-5.3-codex","none","","default",""
"28c44da6-f76f-42b9-984b-65e419ddd7ef","default","done","2026-03-08 15:01:33.598-07","2026-03-08 15:01:36.653593-07","16539","1","gpt-5.3-codex","none","","default",""
"624e9049-0f22-4f7d-9963-fab266f4f7bc","default","done","2026-03-08 15:02:55.262-07","2026-03-08 15:04:40.374547-07","106301","5","gpt-5.3-codex","none","","default",""
"51526e58-936e-4b92-820c-2f77a41331d7","default","done","2026-03-08 15:10:59.498-07","2026-03-08 15:36:31.704984-07","1571296","43","gpt-5.3-codex","none","","default",""
"704c37e0-db9c-4209-96f0-6ab4bd05c986","default","done","2026-03-08 15:37:38.011-07","2026-03-08 16:49:55.824385-07","5820318","170","gpt-5.3-codex","none","","default",""
"4f058c8c-eaa4-4dc5-8501-382092317601","default","done","2026-03-08 16:45:36.044-07","2026-03-08 16:46:34.67869-07","16587","6","gpt-5.3-codex","none","","default",""
